name,search_keys,lat,lng,pref_code,name_en
志賀島,しか,33.6747,130.3114,fukuoka,
住吉神社,すみ,33.5855,130.4140,fukuoka,
能古島アイランドパーク,のこ,33.6334,130.2974,fukuoka,
九州国立博物館,きゅ,33.5186,130.5385,fukuoka,
マリノアシティ福岡,まり,33.5954,130.3236,fukuoka,
南蔵院,なん,33.6231,130.5732,fukuoka,
皿倉山展望台,さら,33.8427,130.8033,fukuoka,
小倉城,こく,33.8837,130.8753,fukuoka,
香椎宮,かし,33.6548,130.4542,fukuoka,
,,,,,
,,,,,
名古屋駅,なご,35.170915,136.8815369,aichi,
栄,さかえ,35.1648142,136.9040502,aichi,
金山駅,かなや,35.142926,136.9012035,aichi,
大須商店街,おおす,35.159066,136.902573,aichi,
名古屋城,なごや,35.1847501,136.8996883,aichi,
名古屋港水族館,なご,35.0905088,136.8784377,aichi,
レゴランドジャパン,れ,35.0506065,136.8438293,aichi,
バンテリンドームナゴヤ,ばん,35.1860075,136.9473999,aichi,
熱田神宮,あつ,35.1242815,136.9089014,aichi,
久屋大通公園,ひさや,35.1709951,136.9084672,aichi,
伏見,ふし,34.9330054,135.7679964,aichi,
丸の内,まるのうち,35.6804062,139.7664859,aichi,
ポートメッセなごや,ぽー,35.047253,136.8489704,aichi,
名古屋国際会議場,なごやこく,35.1316493,136.8983589,aichi,
日本ガイシホール,にほんがい,35.0958984,136.9233477,aichi,
中部国際空港（セントレア）,"せん,ちゅう",34.8573624,136.8107557,aichi,
豊田市駅,とよ,35.0872262,137.1562453,aichi,
犬山駅・城下町,いぬ,35.383611,136.93944,aichi,
ジブリパーク,じぶ,35.1714,137.0592,aichi,
トヨタ産業技術記念館,とよ,35.1808,136.8767,aichi,
リニア・鉄道館,りに,35.0506,136.8508,aichi,
東山動植物園,ひが,35.1565,136.9806,aichi,
徳川園,とく,35.1839,136.9331,aichi,
ノリタケの森,のり,35.1801,136.8817,aichi,
オアシス21,おあ,35.1711,136.9100,aichi,
犬山城,いぬ,35.3917,136.9392,aichi,
博物館明治村,めい,35.3414,136.9881,aichi,
香嵐渓,こう,35.1322,137.3161,aichi,
竹島水族館,たけ,34.8153,137.2319,aichi,
常滑 招き猫通り,とこ,34.8911,136.8406,aichi,
南知多ビーチランド,みな,34.8211,136.8778,aichi,
ラグーナテンボス,らぐ,34.8081,137.2733,aichi,
,,,,,
,,,,,
,,,,,
,,,,,
横浜駅,よこ,35.4659811,139.622062,kanagawa,
みなとみらい,みな,35.4600798,139.6324577,kanagawa,
桜木町,さく,35.4512036,139.6318202,kanagawa,
関内,かんな,35.569496,140.411439,kanagawa,
元町中華街,もとま,35.4427858,139.6499956,kanagawa,
パシフィコ横浜,ぱし,35.4592047,139.6361315,kanagawa,
新横浜駅,しんよ,35.5076585,139.6175553,kanagawa,
箱根湯本,はこ,35.2323555,139.1085732,kanagawa,
強羅,ごう,35.2481965,139.036264,kanagawa,
芦ノ湖,あし,35.2095674,139.0034626,kanagawa,
鎌倉駅,かま,35.3190647,139.5504119,kanagawa,
小町通り,こまち,35.3222668,139.5526999,kanagawa,
江の島,えの,35.2990992,139.4809269,kanagawa,
川崎駅,かわさ,35.5313654,139.696889,kanagawa,
藤沢駅,ふじさ,35.3388984,139.4874695,kanagawa,
小田原駅,おだ,35.2564449,139.1553932,kanagawa,
海老名・厚木,"えび,あつ",35.4406315,139.3722959,kanagawa,
横須賀,よこす,35.281498,139.6721655,kanagawa,
,,,,,
,,,,,
三宮駅,さんの,34.6946001,135.1953022,hyogo,
元町,,35.4398189,139.6499917,hyogo,
ハーバーランド,はー,34.6800711,135.1835143,hyogo,
メリケンパーク,めり,34.6822937,135.1886448,hyogo,
北野異人館街,,34.7007283,135.1907906,hyogo,
新神戸駅,しんこ,34.7062884,135.1954675,hyogo,
有馬温泉,あり,34.7978083,135.2476961,hyogo,
城崎温泉,,35.6241637,134.8131005,hyogo,
姫路駅,ひめ,34.8267967,134.6905326,hyogo,
姫路城,ひめ,34.839449,134.6939047,hyogo,
甲子園球場,こうし,34.7212174,135.3616563,hyogo,
淡路島（洲本）,あわ,34.3428883,134.895295,hyogo,
神戸ポートタワー,こうべ,34.68263,135.1866995,hyogo,
南京町,,32.0583799,118.79647,hyogo,
神戸どうぶつ王国,こうべ,34.6546416,135.2225468,hyogo,
宝塚駅,たから,34.8110882,135.3406274,hyogo,
明石駅,あかし,34.6490355,134.9926962,hyogo,
ハチ北・神鍋高原,,,,hyogo,
,,,,,
広島駅,ひろ,34.397667,132.4753786,hiroshima,
八丁堀,,35.675638,139.7760709,hiroshima,
紙屋町,,34.3944849,132.4580325,hiroshima,
原爆ドーム,げん,34.395483,132.453592,hiroshima,
平和記念公園,,34.3926867,132.4522012,hiroshima,
広島城,ひろ,34.4027456,132.4591055,hiroshima,
宮島（厳島神社）,"みや,いつ",34.2959896,132.3198285,hiroshima,
宮島口,,34.3137024,132.3040173,hiroshima,
尾道駅,,34.4048956,133.1935549,hiroshima,
千光寺,,34.4104463,133.1987066,hiroshima,
本通商店街,,34.392868,132.4604881,hiroshima,
流川,,34.3898502,132.4635576,hiroshima,
マツダスタジアム,まつだ,34.3918689,132.4845553,hiroshima,
呉（大和ミュージアム）,,34.2411391,132.5558555,hiroshima,
鞆の浦,,34.3828651,133.3812012,hiroshima,
福山駅,,34.4889443,133.3625422,hiroshima,
竹原,,34.3417913,132.9070578,hiroshima,
宮浜温泉,,34.2728782,132.2547359,hiroshima,
,,,,,
草津温泉,くさ,36.6229647,138.5967231,gunma,
湯畑,,36.6229647,138.5967231,gunma,
伊香保温泉,いか,36.4981947,138.9165884,gunma,
石段街,,36.203323,113.563459,gunma,
水上温泉,,36.6938217,138.9781402,gunma,
谷川岳,,36.8345934,138.9301544,gunma,
四万温泉,,36.6832232,138.7769096,gunma,
万座温泉,,36.6343303,138.5099495,gunma,
宝川温泉,,36.8479785,139.0467912,gunma,
老神温泉,,36.6711665,139.2097397,gunma,
高崎駅,,36.3228267,139.0126623,gunma,
前橋駅,,36.3833222,139.0731784,gunma,
尾瀬,,36.9364129,139.2398523,gunma,
川場田園プラザ,,36.6871237,139.1073528,gunma,
丸沼高原,,36.814633,139.3300313,gunma,
富岡製糸場,とみ,36.2551925,138.8875796,gunma,
桐生・足利,,36.3401874,139.4497602,gunma,
嬬恋・北軽井沢,,36.466465,138.5897621,gunma,
,,,,,
別府温泉,"べつ,べっ",33.2792897,131.5001945,oita,
別府駅,"べつ,べっ",33.2797011,131.5002568,oita,
地獄めぐり,,33.3154549,131.4719522,oita,
由布院温泉,ゆふ,33.2625917,131.3554211,oita,
湯の坪街道,,33.266739,131.363057,oita,
由布院駅,,33.2626697,131.355101,oita,
金鱗湖,,33.2667847,131.3690999,oita,
鉄輪温泉,,33.3161769,131.4755934,oita,
明礬温泉,,33.3177372,131.4536784,oita,
観海寺温泉,,,,oita,
湯平温泉,,33.1939553,131.3267668,oita,
九重夢大吊橋,,33.1727765,131.2255586,oita,
別府ロープウェイ,べっぷ,33.2779012,131.4487593,oita,
城島高原パーク,,33.2642753,131.4268067,oita,
大分駅,おおい,33.2331603,131.6063918,oita,
日田,,33.3206146,130.9404064,oita,
中津（耶馬溪）,,33.4998128,131.1714769,oita,
佐伯（さいき）,,32.959827,131.9000563,oita,
,,,,,
熱海温泉,あた,35.1033727,139.0791076,shizuoka,
熱海駅,あた,35.1038422,139.0778841,shizuoka,
伊東温泉,,34.9746098,139.0922179,shizuoka,
伊豆高原,いずこ,,,shizuoka,
修善寺温泉,,34.9726355,138.9331362,shizuoka,
下田温泉,,36.81567,137.3950031,shizuoka,
土肥温泉,,34.9109173,138.7905394,shizuoka,
堂ヶ島,,,,shizuoka,
舘山寺温泉,,34.7616432,137.6159594,shizuoka,
御殿場プレミアム・アウトレット,,35.307271,138.9656467,shizuoka,
富士山静岡側,ふじ,35.3606255,138.7273634,shizuoka,
沼津港,,35.0813896,138.8540037,shizuoka,
三島駅,,35.1262994,138.9111261,shizuoka,
静岡駅,,34.9717458,138.388898,shizuoka,
浜松駅,,34.704171,137.7344697,shizuoka,
掛川駅,,34.7697465,138.0149326,shizuoka,
焼津・大井川,,34.8668816,138.3233812,shizuoka,
白浜海岸,,34.692056,138.9740943,shizuoka,
